,DATE,ALLSKY_SFC_SW_DWN,PRECTOT,RH2M,T2M,T2MDEW,T2M_MAX,T2M_MIN,WS2M
114,1981-04-25,-99.0,1.38,67.26,8.55,2.62,14.57,3.9,2.01
115,1981-04-26,-99.0,0.8,58.22,9.44,1.27,16.75,4.48,1.71
116,1981-04-27,-99.0,0.07,47.0,9.51,-1.43,17.97,3.3,1.84
117,1981-04-28,-99.0,1.01,61.19,7.95,0.77,15.89,0.58,1.63
118,1981-04-29,-99.0,0.86,61.09,7.96,0.68,16.12,1.82,1.96
119,1981-04-30,-99.0,3.55,64.42,6.48,0.08,12.8,0.05,1.75
120,1981-05-01,-99.0,0.38,63.58,8.74,2.03,16.04,1.94,1.65
121,1981-05-02,-99.0,0.03,48.28,12.39,1.49,20.56,5.34,1.48
122,1981-05-03,-99.0,0.0,40.75,13.98,0.62,23.2,6.26,1.65
123,1981-05-04,-99.0,0.0,28.93,17.17,-1.72,27.07,8.65,1.45
124,1981-05-05,-99.0,0.0,32.37,18.79,1.28,27.3,11.29,1.18
125,1981-05-06,-99.0,0.01,30.39,19.92,1.4,29.24,12.33,1.93
126,1981-05-07,-99.0,0.88,60.6,14.17,6.53,20.71,8.05,2.03
127,1981-05-08,-99.0,0.12,49.89,12.66,2.17,21.79,5.57,2.07
128,1981-05-09,-99.0,5.08,65.84,8.87,2.57,14.88,4.26,3.06
129,1981-05-10,-99.0,1.35,65.55,8.89,2.62,16.51,3.04,3.01
130,1981-05-11,-99.0,0.01,52.54,12.76,3.05,21.79,4.01,1.75
131,1981-05-12,-99.0,0.0,44.44,15.16,2.85,24.2,7.21,1.71
132,1981-05-13,-99.0,0.08,40.02,16.51,2.52,25.66,9.38,1.88
133,1981-05-14,-99.0,4.6,68.26,11.94,6.2,18.23,6.43,2.54
134,1981-05-15,-99.0,0.07,53.67,12.37,3.03,20.8,4.66,1.87
135,1981-05-16,-99.0,0.0,41.19,15.5,2.15,24.26,7.57,1.77
136,1981-05-17,-99.0,0.0,38.92,17.64,3.19,26.74,9.1,1.39
137,1981-05-18,-99.0,0.0,33.06,19.82,2.6,29.09,11.58,1.26
138,1981-05-19,-99.0,0.0,33.52,20.55,3.47,30.5,12.04,2.06
139,1981-05-20,-99.0,0.0,43.06,17.83,4.79,26.35,10.89,1.91
140,1981-05-21,-99.0,0.0,54.23,15.11,5.67,23.11,8.04,2.13
141,1981-05-22,-99.0,0.0,41.29,17.44,4.02,26.31,9.53,2.09
142,1981-05-23,-99.0,0.0,28.77,20.03,0.84,29.55,11.41,1.57
143,1981-05-24,-99.0,0.0,30.78,21.35,3.07,30.54,13.22,1.78
144,1981-05-25,-99.0,0.0,35.81,20.0,4.15,28.81,10.6,2.1
145,1981-05-26,-99.0,0.0,44.29,14.95,2.63,23.49,7.67,2.04
146,1981-05-27,-99.0,0.0,31.71,19.21,1.72,29.12,9.53,1.32
147,1981-05-28,-99.0,0.05,28.89,21.29,2.02,30.82,13.45,1.65
148,1981-05-29,-99.0,0.01,29.67,20.68,1.97,29.24,12.25,1.69
149,1981-05-30,-99.0,0.02,39.83,18.42,4.26,26.69,10.83,1.86
150,1981-05-31,-99.0,0.0,39.13,18.13,3.61,27.48,9.27,1.68
151,1981-06-01,-99.0,0.0,43.24,17.22,4.34,25.74,9.19,1.8
152,1981-06-02,-99.0,0.0,44.0,17.22,4.6,25.58,8.85,1.9
153,1981-06-03,-99.0,0.0,41.4,17.03,3.41,26.41,8.47,1.9
154,1981-06-04,-99.0,0.0,35.93,20.32,4.48,30.37,10.69,1.84
155,1981-06-05,-99.0,0.0,35.74,22.69,6.52,32.0,13.15,1.22
156,1981-06-06,-99.0,0.0,37.57,22.59,6.92,31.66,15.49,1.45
157,1981-06-07,-99.0,0.0,48.57,21.01,9.28,28.89,13.39,1.82
158,1981-06-08,-99.0,0.0,46.16,21.1,8.71,29.69,13.07,1.87
159,1981-06-09,-99.0,0.0,41.81,22.17,8.4,30.64,13.48,1.89
160,1981-06-10,-99.0,0.32,31.17,24.56,5.65,34.93,14.33,1.09
161,1981-06-11,-99.0,1.72,25.43,26.32,3.99,36.22,17.15,1.53
162,1981-06-12,-99.0,0.64,29.15,26.58,6.84,36.24,18.98,1.6
163,1981-06-13,-99.0,3.72,35.97,25.18,8.87,33.71,18.77,1.91
164,1981-06-14,-99.0,1.18,36.2,25.49,9.25,32.97,18.7,1.96
165,1981-06-15,-99.0,0.01,31.37,26.01,7.53,33.98,19.25,1.65
166,1981-06-16,-99.0,0.48,32.76,25.01,7.31,33.94,17.26,1.64
167,1981-06-17,-99.0,0.03,30.46,25.23,6.45,33.2,18.24,1.68
168,1981-06-18,-99.0,0.0,23.13,26.16,3.22,34.31,18.35,1.78
169,1981-06-19,-99.0,0.0,23.12,26.56,3.56,34.48,18.51,1.63
170,1981-06-20,-99.0,0.01,23.56,26.28,3.59,34.54,18.29,1.95
